timestamp,temperatura,humedad
1709442000,27.23,61.59
1709442900,27.23,61.72
1709443800,27.23,61.83
1709444700,27.23,61.96
1709445600,27.23,61.93
1709446500,27.23,62.03
1709447400,27.21,62.23
1709448300,27.2,62.58
1709449200,27.21,62.85
1709450100,27.18,63
1709451000,27.18,63.23
1709451900,27.17,63.48
1709452800,27.17,63.7
1709453700,27.14,63.87
1709454600,27.15,64.01
1709455500,27.18,64.05
1709456400,27.15,64.08
1709457300,27.14,64.21
1709458200,27.11,64.3
1709459100,27.11,64.47
1709460000,27.11,64.57
1709460900,27.1,64.58
1709461800,27.07,64.69
1709462700,27.08,64.83
1709463600,27.04,64.93
1709464500,27.03,65.15
1709465400,27.02,65.22
1709466300,27.02,65.33
1709467200,27.02,65.47
1709468100,26.97,65.53
1709469000,26.97,65.57
1709469900,26.99,65.68
1709470800,26.97,65.75
1709471700,26.94,66.12
1709472600,26.94,66.39
1709473500,26.94,66.44
1709474400,26.93,66.51
1709475300,26.9,66.51
1709476200,26.92,66.61
1709477100,26.93,66.72
1709478000,26.9,66.71
1709478900,26.87,66.69
1709479800,26.9,66.62
1709480700,26.9,66.47
1709481600,26.94,66.19
1709482500,26.97,65.85
1709483400,27.03,65.71
1709484300,27.02,65.5
1709485200,27.03,65.37
1709486100,27,65.32
1709487000,27,65.15
1709487900,27.06,65.08
1709488800,27.04,65.26
1709489700,27.1,64.98
1709490600,27.13,64.62
1709491500,27.13,64.66
1709492400,27.15,64.57
1709493300,27.13,64.24
1709494200,27.17,64.06
1709495100,27.15,64.01
1709496000,27.18,63.52
1709496900,27.21,63.36
1709497800,27.21,63.4
1709498700,27.24,63.34
1709499600,27.26,63.24
1709500500,27.29,63.23
1709501400,27.3,63.23
1709502300,27.33,63.16
1709503200,27.33,63.12
1709504100,27.35,62.99
1709505000,27.35,63.04
1709505900,27.35,63.3
1709506800,27.38,63.64
1709507700,27.41,63.92
1709508600,27.41,64.12
1709509500,27.4,64.32
1709510400,27.41,64.47
1709511300,27.4,64.6
1709512200,27.4,64.72
1709513100,27.41,64.83
1709514000,27.43,64.94
1709514900,27.41,65.28
1709515800,27.4,65.55
1709516700,27.4,65.65
1709517600,27.41,65.85
1709518500,27.41,65.96
1709519400,27.4,66
1709520300,27.4,66.14
1709521200,27.37,66.19
1709522100,27.35,66.3
1709523000,27.38,66.44
1709523900,27.35,66.48
1709524800,27.34,66.71
1709525700,27.33,66.8
1709526600,27.31,66.89
1709527500,27.3,66.94
